complex_id,h5_file,sample,len_sample,label,bucket,weight_complex,weight_bucket,weight,split
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_0_sample_1,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_0_sample_2,83772,0.78,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_0_sample_3,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_0_sample_4,83772,0.77,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_0_sample_5,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_10_sample_1,83772,0.77,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_10_sample_2,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_10_sample_3,83772,0.77,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_10_sample_4,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_10_sample_5,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_11_sample_1,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_11_sample_2,83772,0.78,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_11_sample_3,83772,0.79,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_11_sample_4,83772,0.77,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_11_sample_5,83772,0.8,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_12_sample_1,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_12_sample_2,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_12_sample_3,83772,0.73,2,20.0,0.0003729951510630362,9.600197635512638e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_12_sample_4,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_12_sample_5,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_13_sample_1,83772,0.76,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_13_sample_2,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_13_sample_3,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
7ox2,../abag_dataset_processed/7ox2_interchain_data.h5,seed_13_sample_4,83772,0.75,3,20.0,0.000251004016064257,6.460373961046531e-05,train
